Energy Demands by Fuel/Demande d'énergie par carburant 
"Fuel (English) / Carburant (anglais)","Fuel (French) / Carburant (français)","Units (English) / Unités (anglais)","Units (French) / Unités (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Coal/Coke","Charbon/Coke","Petajoules","Pétajoules","158.8","170.8","165.3","156.6","126.8","141.4","164.7","154.7","137.2","139.4","122","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Coke Oven Gas","Gaz de Cokerie","Petajoules","Pétajoules","30.4","30.1","25.3","26.3","20.2","22.3","26.3","26.5","24.6","23","23.2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Electric (Net Energy Demands)","Électricité (Demandes nettes d'énergie)","Petajoules","Pétajoules","435.6","432.8","443.1","414","353.9","369.8","361.2","329.5","332.5","334.7","328.5","365.1","376","364","379.7","336.4","348.2","369","380.6","394","412.4","426.4","439.8","453.7","467.1","480.2"
"Electric (Gross Energy Demands)","Électricité (Demandes brutes d'énergie)","Petajoules","Pétajoules","595.6","595.9","581.5","565.4","498.8","504.1","508.5","488.7","487.8","505.3","506.7","525.5","532.8","530","540.5","496.7","510.1","535.7","550.5","567.5","589.2","607.9","626","645.2","664.1","682.8"
"Liquefied Petroleum Gas and Natural Gas Liquids","Gaz de pétrole liquéfié et gaz naturel liquéfié","Petajoules","Pétajoules","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Natural Gas","Gaz Naturel","Petajoules","Pétajoules","559.2","562.9","574","591.8","539.9","583.9","638.6","654.9","673.9","722.9","715.4","677.1","676.7","708.9","713.9","659.2","670.2","699.1","705.2","708.2","714.8","713.6","713","713.6","714.2","716.8"
"Refined Petroleum Products","Produits Pétroliers Raffinés","Petajoules","Pétajoules","278","312.2","325.6","324.1","237.8","271.3","273.8","280.8","268","249.3","271","274.1","216.7","196.3","196.8","191.3","194.1","198.8","202.5","205.9","208.3","211.3","214.4","217.4","220.6","224.1"
"Renewables","Énergie renouvelable","Petajoules","Pétajoules","613.2","585.8","557","515.5","492.6","486.9","490.4","496","523.9","507.7","525.7","469.7","469.9","487.2","478.6","461","468.1","490.1","494.2","512.3","530.3","534.5","537","541.2","545.4","549.1"
"Steam (Net Energy Demands)","Vapeur (Demandes nettes d'énergie)","Petajoules","Pétajoules","16.5","15","12.5","11.7","-8","-1","-5.5","6.2","4.6","-6.5","-0.5","2.4","5.2","8.5","4.4","6.7","6.8","8.1","9","9.8","10.6","11.2","12.2","12.9","13.7","14.5"
"Steam (Gross Energy Demands)","Vapeur (Demandes brutes d'énergie)","Petajoules","Pétajoules","28.6","27.6","23.9","22.5","16","11.4","11.7","13.8","15.3","14.9","12.6","12.9","15.3","19","15.3","14.1","14.1","15.5","16.5","17.2","18","18.6","19.5","20.2","21","21.8"


"Notes:"
"Electric and Steam values in some tables are reported as gross and net energy demands for electricity, and gross and net sales for steam. Please be advised that summing all the columns to produce total values will include double-counting of some energy demands."
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act."
"""0"" Indicates data truncated due to rounding."
"-: no data."
""
""
"Nota:"
"Les valeurs d'électricité et de vapeur dans certains tableaux sont rapportées à la fois en demandes électriques nettes et en demandes électriques brutes. Veuillez noter que la somme de toutes les colonnes pour produire des valeurs totales inclut le double comptage de certaines demandes d'énergie."
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique."
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies."
"-: aucune données."
