Foreign Transportation Energy Demands/Demande d'énergie des transports de l'étranger 
"Category (English) / Catégorie (anglais)","Category (French) / Catégorie (français)","Fuel (English) / Carburant (anglais)","Fuel (French) / Carburant (français)","Units (English) / Unités (anglais)","Units (French) / Unités (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Foreign Freight","Transport de marchandises étrangères","Aviation Gasoline","Essence d'Avion","Petajoules","Pétajoules","0","0","0","0","0","0","0","0","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Foreign Freight","Transport de marchandises étrangères","Biodiesel","Biodiésel","Petajoules","Pétajoules","-","-","-","-","0","0.2","0.2","0.1","0","0","0","0","0","0","0","2","2","2","2.3","2.3","2.7","2.7","2.7","2.8","2.8","4"
"Foreign Freight","Transport de marchandises étrangères","Diesel","Diésel","Petajoules","Pétajoules","28.7","28.9","26.1","25.4","19.5","22.5","31.6","41.9","52.2","65","76","74.1","70.9","71.2","78.3","72","73.4","74","73.7","73.4","72.9","72.9","73","73.2","73.4","72.6"
"Foreign Freight","Transport de marchandises étrangères","Ethanol","Éthanol","Petajoules","Pétajoules","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Foreign Freight","Transport de marchandises étrangères","Gasoline","Essence","Petajoules","Pétajoules","0.1","0.2","0.3","0.3","0.3","0.7","1","0.4","0.4","0.4","0.5","0.5","0.3","0.3","0.7","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7"
"Foreign Freight","Transport de marchandises étrangères","Heavy Fuel Oil","Mazout Lourd","Petajoules","Pétajoules","100.1","87.6","100.1","102","100.5","100.1","72.3","70.2","64.4","52.3","38.8","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Foreign Freight","Transport de marchandises étrangères","Jet Fuel","Carburant d'Avion","Petajoules","Pétajoules","24.1","22.8","20","16.7","14.6","17.5","17.9","19.7","20.5","19.9","19","20.3","24.4","28","28.1","26.4","27.2","28.1","28.6","29","29.4","29.9","30.4","31","31.6","32.3"
"Foreign Freight","Transport de marchandises étrangères","Kerosene","Kérosène","Petajoules","Pétajoules","-","-","-","-","-","-","-","-","1.8","1.9","1.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Foreign Freight","Transport de marchandises étrangères","Light Fuel Oil","Mazout Léger","Petajoules","Pétajoules","0","0","2.9","2","0.1","0.7","0.3","0.3","0.3","0.1","0","0","0","0.1","-","-","-","-","-","-","-","-","-","-","-","-"
"Foreign Passenger","Transport de passagers étrangers","Aviation Gasoline","Essence d'Avion","Petajoules","Pétajoules","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","x","x","x","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Foreign Passenger","Transport de passagers étrangers","Jet Fuel","Carburant d'Avion","Petajoules","Pétajoules","122.2","121.5","126.6","119.6","110.1","114.6","118.9","134.8","140.7","140","146.5","153.9","166.2","189.6","190.5","108.3","121.8","145.2","167.9","190.2","202.8","205.4","208.5","211.7","215.2","218.7"


"Notes:"
"Please note that emissions associated with Foreign Transport are not included in Canada’s total GHG emissions."
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act."
"""0"" Indicates data truncated due to rounding."
"-: no data."
""
""
"Nota:"
"Veuillez noter que les émissions associées aux transports étrangers ne sont pas comprises dans les émissions totales de GES du Canada."
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique."
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies."
"-: aucune données."
