Year,Region,CategoryID,Category,Rollup,CO2,CH4,CH4 (CO2eq),N2O,N2O (CO2eq),HFCs,PFCs,SF6,NF3,CO2eq,Unit
1990,Canada,252,Off-Road Commercial & Institutional,FALSE,1492.05988,1.02604486,25.65112149,0.023640547,7.044883141,0,0,0,0,1524.755885,kt
1990,Canada,253,"Off-Road Manufacturing, Mining & Construction",FALSE,9102.827548,0.689540515,17.23851286,0.117356301,34.97217781,0,0,0,0,9155.038238,kt
1990,Canada,254,Off-Road Residential,FALSE,235.9318623,0.146843992,3.67109981,0.003120256,0.929836146,0,0,0,0,240.5327983,kt
1990,Canada,255,Off-Road Other Transportation,FALSE,15450.53669,49.39187175,1234.796794,0.176406396,52.5691061,0,0,0,0,16737.90259,kt
1990,Canada,256,Pipeline Transport,FALSE,6684.789123,6.694574321,167.364358,0.176486422,52.59295361,0,0,0,0,6904.746435,kt
1990,Canada,300,Fugitive Sources,TRUE,11710.18253,1488.553681,37213.84202,0.108160717,32.23189381,0,0,0,0,48956.25645,kt
1990,Canada,310,Coal Mining,FALSE,0,112.956895,2823.922376,0,0,0,0,0,0,2823.922376,kt
1990,Canada,320,Oil and Natural Gas,TRUE,11710.18253,1375.596786,34389.91965,0.108160717,32.23189381,0,0,0,0,46132.33408,kt
1990,Canada,321,Oil,FALSE,94.68524897,194.7502195,4868.755487,0.1,29.8,0,0,0,0,4993.240735,kt
1990,Canada,322,Natural Gas,FALSE,26.30074192,524.6210033,13115.52508,0,0,0,0,0,0,13141.82582,kt
1990,Canada,323,Venting,FALSE,6994.943045,650.4849181,16262.12295,0,0,0,0,0,0,23257.066,kt
1990,Canada,324,Flaring,FALSE,4594.253498,5.740645181,143.5161295,0.008160717,2.431893812,0,0,0,0,4740.201521,kt
1990,Canada,350,CO2 Transport and Storage,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Canada,400,INDUSTRIAL PROCESSES AND PRODUCT USE,TRUE,33657.69949,5.80164317,145.0410792,38.46620709,11462.92971,970.540192,7557.901859,3225.922198,0.324454149,57020.35899,kt
1990,Canada,410,Mineral Products,TRUE,8498.219006,0,0,0,0,0,0,0,0,8498.219006,kt
1990,Canada,411,Cement Production,FALSE,5823.211402,0,0,0,0,0,0,0,0,5823.211402,kt
1990,Canada,412,Lime Production,FALSE,1813.225089,0,0,0,0,0,0,0,0,1813.225089,kt
1990,Canada,413,Mineral Product Use,FALSE,861.7825145,0,0,0,0,0,0,0,0,861.7825145,kt
1990,Canada,420,Chemical Industry,TRUE,6163.230351,5.709884837,142.7471209,37.88972622,11291.13841,0,0,0,0,17597.11588,kt
1990,Canada,421,Ammonia Production,FALSE,2796.40916,0,0,0,0,0,0,0,0,2796.40916,kt
1990,Canada,422,Nitric Acid Production,FALSE,0,0,0,3.265638465,973.1602625,0,0,0,0,973.1602625,kt
1990,Canada,423,Adipic Acid Production,FALSE,0,0,0,34.575,10303.35,0,0,0,0,10303.35,kt
1990,Canada,424,Petrochemical and Carbon Black Production,FALSE,3366.821191,5.709884837,142.7471209,0.049087752,14.62815014,0,0,0,0,3524.196463,kt
1990,Canada,430,Metal Production,TRUE,13192.69359,0.091758332,2.29395831,0,0,0,7557.842998,3019.386114,0,23772.21666,kt
1990,Canada,431,Iron and Steel Production,FALSE,10478.06059,0.091758332,2.29395831,0,0,0,0,0,0,10480.35454,kt
1990,Canada,432,Aluminum Production,FALSE,2714.633,0,0,0,0,0,7557.842998,56.34080335,0,10328.8168,kt
1990,Canada,433,SF6 Used in Magnesium Smelters and Casters,FALSE,0,0,0,0,0,0,0,2963.04531,0,2963.04531,kt
1990,Canada,440,"Production and Consumption of Halocarbons, SF6 and NF3",FALSE,0,0,0,0,0,970.540192,0.05886135,4.37765204,0.324454149,975.3011595,kt
1990,Canada,450,Non-Energy Products from Fuels and Solvent Use,FALSE,5803.55655,0,0,0,0,0,0,0,0,5803.55655,kt
1990,Canada,460,Other Product Manufacture and Use,FALSE,0,0,0,0.576480869,171.791299,0,0,202.1584328,0,373.9497318,kt
1990,Canada,500,AGRICULTURE,TRUE,1190.637067,998.7999552,24969.99888,69.72892041,20779.21828,0,0,0,0,46939.85423,kt
1990,Canada,510,Enteric Fermentation,FALSE,0,893.8841573,22347.10393,0,0,0,0,0,0,22347.10393,kt
1990,Canada,520,Manure Management,FALSE,0,98.11033711,2452.758428,12.33219697,3674.994696,0,0,0,0,6127.753123,kt
1990,Canada,530,Agricultural Soils,TRUE,0,0,0,57.22028557,17051.6451,0,0,0,0,17051.6451,kt
1990,Canada,531,Direct Sources,FALSE,0,0,0,47.85634733,14261.19151,0,0,0,0,14261.19151,kt
1990,Canada,532,Indirect Sources,FALSE,0,0,0,9.363938236,2790.453594,0,0,0,0,2790.453594,kt
1990,canada,540,Field Burning of Agricultural Residues,FALSE,0,6.805460756,170.1365189,0.176437871,52.57848569,0,0,0,0,222.7150046,kt
1990,Canada,550,"Liming, Urea Application and Other Carbon-containing Fertilizers",FALSE,1190.637067,0,0,0,0,0,0,0,0,1190.637067,kt
1990,Canada,600,WASTE,TRUE,178.1262831,1014.101937,25352.54843,1.587988521,473.2205792,0,0,0,0,26003.89529,kt
1990,Canada,610,Solid Waste Disposal (Landfills),FALSE,0,839.3532116,20983.83029,0,0,0,0,0,0,20983.83029,kt
1990,Canada,620,Biological Treatment of Solid Waste,FALSE,0,1.358946717,33.97366793,0.13185054,39.29146079,0,0,0,0,73.26512872,kt
1990,Canada,630,Wastewater Treatment and Discharge,FALSE,0,19.42963047,485.7407617,1.146816164,341.7512168,0,0,0,0,827.4919786,kt
1990,Canada,640,Incineration and Open Burning of Waste,FALSE,178.1262831,0.061895853,1.547396314,0.309321817,92.17790156,0,0,0,0,271.8515809,kt
1990,Canada,650,Industrial Wood Waste Landfills,FALSE,0,153.8982524,3847.45631,0,0,0,0,0,0,3847.45631,kt
1990,Canada,700,"LAND USE, LAND-USE CHANGE AND FORESTRY",TRUE,-58168.66818,35.666714,891.66785,1.545413,460.533074,0,0,0,0,-56816.46725,kt
1990,Canada,710,Forest Land,FALSE,-202657.2183,17.572646,439.31615,0.746139,222.349422,0,0,0,0,-201995.5527,kt
1990,Canada,720,Cropland,FALSE,7077.553832,13.140036,328.5009,0.6258,186.4884,0,0,0,0,7592.543132,kt
1990,Canada,730,Grassland,FALSE,0,0.019664,0.4916,0.00051,0.15198,0,0,0,0,0.64358,kt
1990,Canada,740,Wetlands,FALSE,5317.039852,0.567191,14.179775,0.020368,6.069664,0,0,0,0,5337.289291,kt
1990,Canada,750,Settlements,FALSE,1661.977606,4.367177,109.179425,0.152596,45.473608,0,0,0,0,1816.630639,kt
1990,Canada,760,Harvested Wood Products,FALSE,130431.9789,0,0,0,0,0,0,0,0,130431.9789,kt
1990,Newfoundland and Labrador,0,TOTAL,TRUE,8578.724156,33.3516512,833.79128,0.454794155,135.5286581,0,0,0.937447232,0,9548.981541,kt
1990,Newfoundland and Labrador,100,ENERGY,TRUE,8458.491195,4.547411675,113.6852919,0.340931867,101.5976964,0,0,0,0,8673.774183,kt
1990,Newfoundland and Labrador,101,Stationary Combustion Sources,TRUE,5331.21181,3.168777838,79.21944595,0.118310056,35.25639658,0,0,0,0,5445.687652,kt
1990,Newfoundland and Labrador,110,Public Electricity and Heat Production,FALSE,1631.158708,0.01914461,0.478615242,0.032042559,9.548682689,0,0,0,0,1641.186006,kt
1990,Newfoundland and Labrador,120,Petroleum Refining Industries,FALSE,1026.95891,0.035289335,0.882233374,0.017104242,5.097064248,0,0,0,0,1032.938207,kt
1990,Newfoundland and Labrador,130,Oil and Gas Extraction,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,131,Mining,FALSE,1154.037283,0.031790087,0.79475217,0.017649259,5.259479289,0,0,0,0,1160.091514,kt
1990,Newfoundland and Labrador,140,Manufacturing Industries,TRUE,502.5492449,0.018468656,0.46171641,0.010377784,3.092579715,0,0,0,0,506.103541,kt
1990,Newfoundland and Labrador,141,Iron and Steel,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,142,Non Ferrous Metals,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,143,Chemical,FALSE,7.757448,0.00029496,0.007374,0.000157312,0.046878976,0,0,0,0,7.811700976,kt
1990,Newfoundland and Labrador,144,Pulp and Paper,FALSE,416.5063451,0.01580339,0.39508476,0.008437871,2.514485641,0,0,0,0,419.4159155,kt
1990,Newfoundland and Labrador,145,Cement,FALSE,31.10238,0.0011826,0.029565,0.00063072,0.18795456,0,0,0,0,31.31989956,kt
1990,Newfoundland and Labrador,146,Other Manufacturing,FALSE,47.1830718,0.001187706,0.02969265,0.001151881,0.343260538,0,0,0,0,47.55602499,kt
1990,Newfoundland and Labrador,150,Construction,FALSE,32.8279299,0.000359561,0.008989025,0.000534676,0.159333448,0,0,0,0,32.99625237,kt
1990,Newfoundland and Labrador,160,Commercial and Institutional,FALSE,318.6178987,0.003502393,0.087559819,0.004752919,1.41636977,0,0,0,0,320.1218283,kt
1990,Newfoundland and Labrador,170,Residential,FALSE,640.6599666,3.05998957,76.49973926,0.035554184,10.59514698,0,0,0,0,727.7548528,kt
1990,Newfoundland and Labrador,180,Agriculture and Forestry,FALSE,24.4018688,0.000233626,0.00584065,0.000294431,0.087740438,0,0,0,0,24.49544989,kt
1990,Newfoundland and Labrador,200,Transport,TRUE,3091.837638,1.203937013,30.09842531,0.217897007,64.93330804,0,0,0,0,3186.869371,kt
1990,Newfoundland and Labrador,210,Aviation,TRUE,236.1630078,0.008740821,0.218520524,0.006921057,2.06247509,0,0,0,0,238.4440034,kt
1990,Newfoundland and Labrador,211,Domestic Aviation (Civil),FALSE,183.1745359,0.007212634,0.180315842,0.005431013,1.618441999,0,0,0,0,184.9732938,kt
1990,Newfoundland and Labrador,212,Military Aviation,FALSE,52.98847182,0.001528187,0.038204681,0.001490044,0.444033091,0,0,0,0,53.47070959,kt
1990,Newfoundland and Labrador,220,Road Transportation,TRUE,1510.040237,0.21433039,5.358259751,0.185050149,55.14494435,0,0,0,0,1570.543441,kt
1990,Newfoundland and Labrador,221,Light-Duty Gasoline Vehicles,FALSE,643.7977757,0.110454676,2.761366889,0.105786912,31.52449974,0,0,0,0,678.0836423,kt
1990,Newfoundland and Labrador,222,Light-Duty Gasoline Trucks,FALSE,418.73894,0.06721463,1.680365751,0.065843825,19.62145979,0,0,0,0,440.0407656,kt
1990,Newfoundland and Labrador,223,Heavy-Duty Gasoline Vehicles,FALSE,84.43997979,0.014769027,0.369225674,0.002488901,0.74169242,0,0,0,0,85.55089788,kt
1990,Newfoundland and Labrador,224,Motorcycles,FALSE,2.625870155,0.002617562,0.065439056,5.46274E-05,0.016278961,0,0,0,0,2.707588171,kt
1990,Newfoundland and Labrador,225,Light-Duty Diesel Vehicles,FALSE,4.03455494,0.000117468,0.002936698,0.00029246,0.087153116,0,0,0,0,4.124644754,kt
1990,Newfoundland and Labrador,226,Light-Duty Diesel Trucks,FALSE,1.996827337,5.52613E-05,0.001381532,0.000142895,0.042582582,0,0,0,0,2.040791452,kt
1990,Newfoundland and Labrador,227,Heavy-Duty Diesel Vehicles,FALSE,354.3544823,0.019079881,0.476997022,0.010439572,3.110992407,0,0,0,0,357.9424718,kt
1990,Newfoundland and Labrador,228,Propane and Natural Gas Vehicles,FALSE,0.051806247,2.18851E-05,0.000547129,9.57475E-07,0.000285328,0,0,0,0,0.052638703,kt
1990,Newfoundland and Labrador,230,Railways,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,240,Marine,TRUE,756.4911468,0.070419832,1.7604958,0.020119952,5.995745695,0,0,0,0,764.2473883,kt
1990,Newfoundland and Labrador,241,Domestic Navigation,FALSE,415.7890936,0.038398542,0.959963546,0.010971012,3.269361561,0,0,0,0,420.0184187,kt
1990,Newfoundland and Labrador,242,Fishing,FALSE,339.6729827,0.031924572,0.798114293,0.009121306,2.71814925,0,0,0,0,343.1892462,kt
1990,Newfoundland and Labrador,243,Military Water-Borne Navigation,FALSE,1.029070547,9.67184E-05,0.002417961,2.76338E-05,0.008234883,0,0,0,0,1.039723391,kt
1990,Newfoundland and Labrador,250,Other Transportation,TRUE,589.1432465,0.91044597,22.76114924,0.005805849,1.730142905,0,0,0,0,613.6345386,kt
1990,Newfoundland and Labrador,251,Off-Road Agriculture & Forestry,FALSE,24.80556341,0.000770844,0.019271089,0.000204369,0.060901997,0,0,0,0,24.8857365,kt
1990,Newfoundland and Labrador,252,Off-Road Commercial & Institutional,FALSE,30.42131159,0.008870106,0.221752645,0.000326271,0.097228691,0,0,0,0,30.74029293,kt
1990,Newfoundland and Labrador,253,"Off-Road Manufacturing, Mining & Construction",FALSE,222.497008,0.008099549,0.202488723,0.001896902,0.565276698,0,0,0,0,223.2647734,kt
1990,Newfoundland and Labrador,254,Off-Road Residential,FALSE,6.98722298,0.002828126,0.07070314,7.96145E-05,0.023725134,0,0,0,0,7.081651254,kt
1990,Newfoundland and Labrador,255,Off-Road Other Transportation,FALSE,304.4321405,0.889877346,22.24693365,0.003298693,0.983010385,0,0,0,0,327.6620846,kt
1990,Newfoundland and Labrador,256,Pipeline Transport,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,300,Fugitive Sources,TRUE,35.44174724,0.174696824,4.367420611,0.004724805,1.407991792,0,0,0,0,41.21715965,kt
1990,Newfoundland and Labrador,310,Coal Mining,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,320,Oil and Natural Gas,TRUE,35.44174724,0.174696824,4.367420611,0.004724805,1.407991792,0,0,0,0,41.21715965,kt
1990,Newfoundland and Labrador,321,Oil,FALSE,0.040759615,0.174451603,4.361290086,0.004710673,1.403780451,0,0,0,0,5.805830152,kt
1990,Newfoundland and Labrador,322,Natural Gas,FALSE,0,0.000000266,0.00000665,0,0,0,0,0,0,0.00000665,kt
1990,Newfoundland and Labrador,323,Venting,FALSE,24.78284883,0,0,0,0,0,0,0,0,24.78284883,kt
1990,Newfoundland and Labrador,324,Flaring,FALSE,10.6181388,0.000244955,0.006123874,1.4132E-05,0.004211341,0,0,0,0,10.62847402,kt
1990,Newfoundland and Labrador,350,CO2 Transport and Storage,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,400,INDUSTRIAL PROCESSES AND PRODUCT USE,TRUE,94.03871674,0,0,0.012019788,3.581896805,0,0,0.937447232,0,98.55806077,kt
1990,Newfoundland and Labrador,410,Mineral Products,TRUE,64.86102819,0,0,0,0,0,0,0,0,64.86102819,kt
1990,Newfoundland and Labrador,411,Cement Production,FALSE,60.83772996,0,0,0,0,0,0,0,0,60.83772996,kt
1990,Newfoundland and Labrador,412,Lime Production,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,413,Mineral Product Use,FALSE,4.023298233,0,0,0,0,0,0,0,0,4.023298233,kt
1990,Newfoundland and Labrador,420,Chemical Industry,TRUE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,421,Ammonia Production,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,422,Nitric Acid Production,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,423,Adipic Acid Production,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,424,Petrochemical and Carbon Black Production,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,430,Metal Production,TRUE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,431,Iron and Steel Production,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,432,Aluminum Production,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,433,SF6 Used in Magnesium Smelters and Casters,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,440,"Production and Consumption of Halocarbons, SF6 and NF3",FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,450,Non-Energy Products from Fuels and Solvent Use,FALSE,29.17768854,0,0,0,0,0,0,0,0,29.17768854,kt
1990,Newfoundland and Labrador,460,Other Product Manufacture and Use,FALSE,0,0,0,0.012019788,3.581896805,0,0,0.937447232,0,4.519344037,kt
1990,Newfoundland and Labrador,500,AGRICULTURE,TRUE,2.614409918,1.177363971,29.43409926,0.07325788,21.83084833,0,0,0,0,53.87935751,kt
1990,Newfoundland and Labrador,510,Enteric Fermentation,FALSE,0,0.920464099,23.01160247,0,0,0,0,0,0,23.01160247,kt
1990,Newfoundland and Labrador,520,Manure Management,FALSE,0,0.256899872,6.422496791,0.033211985,9.897171458,0,0,0,0,16.31966825,kt
1990,Newfoundland and Labrador,530,Agricultural Soils,TRUE,0,0,0,0.040045896,11.93367687,0,0,0,0,11.93367687,kt
1990,Newfoundland and Labrador,531,Direct Sources,FALSE,0,0,0,0.032228898,9.604211489,0,0,0,0,9.604211489,kt
1990,Newfoundland and Labrador,532,Indirect Sources,FALSE,0,0,0,0.007816998,2.329465382,0,0,0,0,2.329465382,kt
1990,Newfoundland and Labrador,540,Field Burning of Agricultural Residues,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,550,"Liming, Urea Application and Other Carbon-containing Fertilizers",FALSE,2.614409918,0,0,0,0,0,0,0,0,2.614409918,kt
1990,Newfoundland and Labrador,600,WASTE,TRUE,23.5798347,27.62687556,690.6718889,0.028584619,8.518216527,0,0,0,0,722.7699401,kt
1990,Newfoundland and Labrador,610,Solid Waste Disposal (Landfills) (Landfills),FALSE,0,24.65611913,616.4029782,0,0,0,0,0,0,616.4029782,kt
1990,Newfoundland and Labrador,620,Biological Treatment of Solid Waste,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,630,Wastewater Treatment and Discharge,FALSE,0,0.651807037,16.29517592,0.023911439,7.125608798,0,0,0,0,23.42078472,kt
1990,Newfoundland and Labrador,640,Incineration and Open Burning of Waste,FALSE,23.5798347,0.00467318,0.116829507,0.00467318,1.392607729,0,0,0,0,25.08927194,kt
1990,Newfoundland and Labrador,650,Industrial Wood Waste Landfills,FALSE,0,2.314276213,57.85690532,0,0,0,0,0,0,57.85690532,kt
1990,Newfoundland and Labrador,700,"LAND USE, LAND-USE CHANGE AND FORESTRY",TRUE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,710,Forest Land,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,720,Cropland,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,730,Grassland,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,740,Wetlands,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,750,Settlements,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Newfoundland and Labrador,760,Harvested Wood Products,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Prince Edward Island,0,TOTAL,TRUE,1361.234117,10.93793828,273.4484571,0.776810409,231.4895019,0,0,0.016919497,0,1866.188995,kt
1990,Prince Edward Island,100,ENERGY,TRUE,1350.440284,1.009718306,25.24295765,0.072462667,21.59387474,0,0,0,0,1397.277116,kt
