Year,Region,Index,Source,Category,Sub-category,Sub-sub-category,Total,CO2eq,Unit
1990,Alberta,0,Provincial Inventory Total,,,,y,171.7849588,Mt
1990,Alberta,1,Oil and Gas,,,,y,65.21309573,Mt
1990,Alberta,2,Oil and Gas,Upstream Oil and Gas,,,y,61.57702554,Mt
1990,Alberta,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,27.83228536,Mt
1990,Alberta,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,15.26101044,Mt
1990,Alberta,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,,8.788098268,Mt
1990,Alberta,6,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Heavy Oil Production,,6.472912167,Mt
1990,Alberta,8,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",,y,14.61047506,Mt
1990,Alberta,9,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",Mining and Extraction,,2.173432,Mt
1990,Alberta,11,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",Upgrading,,8.352442276,Mt
1990,Alberta,10,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",In-situ,,4.08460078,Mt
1990,Alberta,44,Coal Production,,,,,0.596265064,Mt
1990,Alberta,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,,3.873254692,Mt
1990,Alberta,13,Oil and Gas,Downstream Oil and Gas,,,y,3.636070192,Mt
1990,Alberta,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,,3.222670762,Mt
1990,Alberta,15,Oil and Gas,Downstream Oil and Gas,Natural Gas Distribution,,,0.413399429,Mt
1990,Alberta,16,Electricity,,,,,39.75914369,Mt
1990,Alberta,17,Transport,,,,y,17.01308686,Mt
1990,Alberta,18,Transport,Passenger Transport,,,y,9.112361361,Mt
1990,Alberta,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,,8.035655384,Mt
1990,Alberta,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,,1.076705977,Mt
1990,Alberta,21,Transport,Freight Transport,,,y,5.776648977,Mt
1990,Alberta,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,,5.542632612,Mt
1990,Alberta,23,Transport,Freight Transport,Aviation and Marine,,,0.234016366,Mt
1990,Alberta,24,Transport,"Other: Recreational, Commercial and Residential",,,,2.124076519,Mt
1990,Alberta,25,Heavy Industry,,,,y,12.63573853,Mt
1990,Alberta,26,Heavy Industry,Mining,,,,0.245730986,Mt
1990,Alberta,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,,0.428465165,Mt
1990,Alberta,28,Heavy Industry,Pulp and Paper,,,,0.498116713,Mt
1990,Alberta,29,Heavy Industry,Iron and Steel,,,,0.098656209,Mt
1990,Alberta,30,Heavy Industry,Cement,,,,1.170816172,Mt
1990,Alberta,31,Heavy Industry,Lime and Gypsum,,,,0.190171924,Mt
1990,Alberta,32,Heavy Industry,Chemicals and Fertilizers,,,,10.00378136,Mt
1990,Alberta,45,"Light Manufacturing, Construction and Forest Resources",,,,y,5.576430745,Mt
1990,Alberta,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,,4.752242933,Mt
1990,Alberta,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,,0.722571365,Mt
1990,Alberta,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,,0.101616447,Mt
1990,Alberta,33,Buildings,,,,y,12.02922198,Mt
1990,Alberta,34,Buildings,Service Industry,,,,5.288173646,Mt
1990,Alberta,35,Buildings,Residential,,,,6.741048336,Mt
1990,Alberta,40,Waste,,,,y,2.406625561,Mt
1990,Alberta,41,Waste,Solid Waste,,,,2.292637881,Mt
1990,Alberta,42,Waste,Wastewater,,,,0.106830989,Mt
1990,Alberta,43,Waste,Waste Incineration,,,,0.00715669,Mt
1990,Alberta,36,Agriculture,,,,y,16.55535068,Mt
1990,Alberta,37,Agriculture,On Farm Fuel Use,,,,2.908431692,Mt
1990,Alberta,38,Agriculture,Crop Production,,,,3.702789706,Mt
1990,Alberta,39,Agriculture,Animal Production,,,,9.944129284,Mt
1991,Alberta,0,Provincial Inventory Total,,,,y,172.9444695,Mt
1991,Alberta,1,Oil and Gas,,,,y,66.3375869,Mt
1991,Alberta,2,Oil and Gas,Upstream Oil and Gas,,,y,62.56942082,Mt
1991,Alberta,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,27.6983889,Mt
1991,Alberta,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,15.84152234,Mt
1991,Alberta,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,,8.628251448,Mt
1991,Alberta,6,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Heavy Oil Production,,7.21327089,Mt
1991,Alberta,8,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",,y,15.0634113,Mt
1991,Alberta,9,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",Mining and Extraction,,2.311571665,Mt
