Gross Output/Production brute ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity (English) / Activité (anglais),Activity (French) / Activité (français),Economic Sector (English) / Secteur économique (anglais),Economic Sector (French) / Secteur économique (français),Units (English) / Unité (anglais),Units (French) / Unité (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Manufacturing,Manufacturier,Other manufacturing,Manufacturier - autres,Billion 1997 CN$,Milliards 1997 CN$,147.9,133.1,124.4,116.8,112,112.6,112.3,115,117.9,134.2,126.4,131.4,138.6,142.9,151.1,146.2,165,175.1,178.5,181.7,185.7,188.9,197,201.6,206.3,210
Total  (Goods),Total (Biens),n/a,s/o,Billion 1997 CN$,Milliards 1997 CN$,920.1,903.7,891.4,832.8,777.1,839.5,851,908.7,931.9,988.1,960.4,967.7,983.8,989.4,1005.8,959.5,1009.8,1077.6,1105.5,1122.6,1140.3,1154.7,1176.7,1195.5,1215,1231.7
Total  (Services),Total (Services),n/a,s/o,Billion 1997 CN$,Milliards 1997 CN$,1266.6,1302.7,1347.6,1361.4,1347.9,1404.8,1434.6,1474.2,1501.7,1554,1567.5,1595.6,1650.7,1692.9,1730.2,1673.5,1745.1,1809,1846.3,1879.8,1912.3,1945.9,1983.8,2021.4,2058.3,2093.6
Total,Total,n/a,s/o,Billion 1997 CN$,Milliards 1997 CN$,2186.7,2206.4,2239,2194.2,2125,2244.2,2285.6,2382.9,2433.6,2542.1,2527.9,2563.2,2634.6,2682.3,2736,2633,2754.9,2886.6,2951.7,3002.3,3052.6,3100.6,3160.6,3216.9,3273.4,3325.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The above table does not include a complete and exhaustive list of all Gross Outputs. Totals are only provided for contextual purposes. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le tableau ci-dessus ne comprend pas une liste complète et exhaustive de toute la production brute. Les totaux ne sont fournis qu'à des fins contextuelles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
